name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Maker Interactive,34283,34283,34283,1
Toyasky,17850.5,17850.5,35701,2
InDID,34242,34242,34242,1
Brimstone,21403.333333333332,18680,64210,3
Shin'en Multimedia,34216,34216,34216,1
Bludgeonsoft,34202,34202,34202,1
Nonadecimal Creative,30858,30858,61716,2
padSoft,17857.5,17857.5,35715,2
Broken Dream Studio,34136,34136,34136,1
Smidge Games LLC,33916,33916,33916,1
Ayrtech,34096,34096,34096,1
Game Logic Studio,21976,21976,43952,2
Paras Games,1069692.5555555555,26553,9627233,9
Garage Heathen,195816,195816,391632,2
Big Fat Simulations Inc.,92063.8,122523,460319,5
Quantum Gear Studios,17857,17857,35714,2
"Team 21 Studio, Inc.",33920,33920,33920,1
Codeknitters,33678,33678,33678,1
SarumXR,34014,34014,34014,1
fishwind,34009,34009,34009,1
Chaosmonger Studio,12498.333333333334,2140,37495,3
My Little Planet Ltd,73584.5,73584.5,147169,2
Caravel Games,15341,6456,46023,3
NightTime Co.,33880,33880,33880,1
Tungsten Games,68524.5,68524.5,137049,2
VitruviusVR,231523,231523,463046,2
Bootsnake Games,33820,33820,33820,1
earrgames,19391,19391,38782,2
NVYVE® Studios,282869,282869,565738,2
Green Grass Games,33869,33869,33869,1
Entalto Publishing,19391.5,19391.5,38783,2
Planet Entertainment,33686,33686,33686,1
Geoff Keighley,118582,56432,474328,4
Rogue Sword: Strategy & Adventure Games,33757,33757,33757,1
Upper Class Walrus,29226,29226,58452,2
Elite Lords Studios,22214,25226,66642,3
Screwfly Studios,96970,93203,387880,4
Fabula,19186,19186,38372,2
selenophobia,33616,33616,33616,1
CGE Digital,405258.5,405258.5,810517,2
Mi-Clos Studio,119096.5,33443,476386,4
BreakAway Games,16816.5,16816.5,33633,2
Old Owl Game,33597,33597,33597,1
German Bandera,33611,33611,33611,1
Reborn Games Inc.,33564,33564,33564,1
Ludeme Games,33555,33555,33555,1
Encryptique,33523,33523,33523,1
Toco Games,33499,33499,33499,1
Lock 'n Load Publishing,40507.763098618256,36411.28929585476,243046.57859170952,6
吃了就睡工作室,10133.42857142857,4570,70934,7
iEntertainment Network Inc,13367.75,8276,53471,4
Shiromofu Factory,42435,42435,42435,1
Pangea Survival Development Team,33405,33405,33405,1
www.Spellbook.com,39926.79344862527,24139,239560.76069175164,6
Crash Wave Games Inc.,33362,33362,33362,1
Honorable Pixel,33387,33387,33387,1
Hera Games,18090,16566,54270,3
Redikal,33430,33430,33430,1
Cipher Prime Studios,81150.75,85693,324603,4
Forust,33279,33279,33279,1
Ravegan,17750,17750,35500,2
TenkaiGames,9006.333333333334,3948,54038,6
Other Kind Games,33241,33241,33241,1
Gonggamorecontents Inc.,16856.5,16856.5,33713,2
Matthew Kania,18112,18112,36224,2
Holonautic,33193,33193,33193,1
Ashkandi,33180,33180,33180,1
NonLinear Educating Inc.,33171,33171,33171,1
Mango Protocol,63027,64501,189081,3
星罗云布工作室,33131,33131,33131,1
BrainDead Broccoli,33025,33025,33025,1
Rockin' Android,26865.8,8244,134329,5
Rockin Android,58272.5,58272.5,116545,2
Skandivania Games,33069,33069,33069,1
xhGames,33052,33052,33052,1
Still Not Sure,33050,33050,33050,1
Particle Studios,33010,33010,33010,1
Catthia Games,32946,32946,32946,1
OneBlock,16531,16531,33062,2
Borington,22678.5,22678.5,45357,2
Sherman3D,33005,33005,33005,1
Dreamers Studio,33043,33043,33043,1
MoreMoto Games,36057,36057,36057,1
JustTomcuk,15249,12709,91494,6
Some Random Designing,32434,32434,32434,1
SLGames,32871,32871,32871,1
Magenta Factory,39524.25,28009.5,158097,4
A. Strazhev,32837,32837,32837,1
Sol Press,33793.666666666664,32956,101381,3
PlaySide VR,32880,32880,32880,1
Lino Rabolini,33785,33785,33785,1
夜喵,32881,32881,32881,1
Invisible Collective,32828,32828,32828,1
"Beijing Skyline Interaction Technology Co., Ltd.",19999,19999,39998,2
LifeSpark Entertainment,32826,32826,32826,1
Grey Havens,738487.5522076681,44425.89832098272,2953950.2088306723,4
Gample,28853,28853,28853,1
Self MADev,32891,32891,32891,1
Stickmen Studios,32773,32773,32773,1
FM Studio,11089.5,6826.5,66537,6
Beldarak Games,21806.5,21806.5,43613,2
Colestia,10908.333333333334,0,32725,3
Pureworks Japan 株式会社,32713,32713,32713,1
Zenox,17292,16160,51876,3
Castec Studios,32732,32732,32732,1
piratecat games,17123.5,17123.5,34247,2
Sweet Potato Studio,32658,32658,32658,1
3AM Studios,32679,32679,32679,1
Big Shield Games,16317,16317,32634,2
Themisian,14234,7153,42702,3
Yul,32565,32565,32565,1
House House,32571,32571,32571,1
BIVAK LLC,32612,32612,32612,1
Tall Troll Games,32584,32584,32584,1
Adam DeLease,8248,4003,49488,6
RogueWare,32527,32527,32527,1
FreetimeStudio,32497,32497,32497,1
FinnGames,29440,29440,29440,1
Atomic Wolf,22090.5,22090.5,44181,2
Octaday,18461.5,18461.5,36923,2
Cruise Elroy,32472,32472,32472,1
XOCUS,15842,9287,79210,5
Solkitte,32432,32432,32432,1
Flying Carpets Games,32372,32372,32372,1
The Pixel Hunt,34695,34695,34695,1
Shanghai huan zhen Info Tech Ltd,17145,17145,34290,2
E-Home Entertainment Development Company Ltd.,32409,32409,32409,1
Mothership Loudspeakerz,32306,32306,32306,1
Studio Monolith,33386,33386,33386,1
Wispfire,32276,32276,32276,1
Mr. Vibin,32268,32268,32268,1
"Gag A Maggot Entertainment, LLC.",32203,32203,32203,1
市松製化,32901,32901,32901,1
ItimatuSeika,32901,32901,32901,1
Vampire Squid,34442,34442,34442,1
Glove Games,32189,32189,32189,1
Tad Cordle,32359,32359,32359,1
On The Level Game Studios,16648,16648,33296,2
DQ Team,32106,32106,32106,1
Altai Entertainment,33143,33143,33143,1
Otakesan,17047.5,17047.5,34095,2
AweKteaM,32060,32060,32060,1
AssetFlipGames World Game Publishing,31970,31970,31970,1
Srloop,32043,32043,32043,1
Lewd Formosa,76109.5,10239,608876,8
Hardblush Interactive,32003,32003,32003,1
Perpetual FX Creative,31976,31976,31976,1
Advance Garde,31855,31855,31855,1
BitterBerries,31915,31915,31915,1
YUTAMARO WORLD,33175,33175,33175,1
YLSGAME,31918,31918,31918,1
Nozori Games,32040,32040,32040,1
Korpi Games Oy,32026,32026,32026,1
ghost pattern,31942,31942,31942,1
Kirklight Games,31828,31828,31828,1
KirUn,16906,16906,33812,2
John Wizard,6360.2,0,31801,5
Vladimir Cholokyan,31702,31702,31702,1
Puzzler,37098.333333333336,31747,111295,3
East2west Games,31645,31645,31645,1
Artisano,31749,31749,31749,1
helpnode,31923,31923,31923,1
MOONSEER VR,31384,31384,31384,1
Beemoov,31732,31732,31732,1
Stratera Games,13787.6,6175,68938,5
Fntastic,31734,31734,31734,1
VinLia Games,31697,31697,31697,1
Actus Games,39879,39879,39879,1
Zojoi LLC.,22395,22395,44790,2
Stardust Collective,31736,31736,31736,1
Lucky Frame,31617,31617,31617,1
Breaking Dimensions,32801,32801,32801,1
Bocary Studios,17368,17368,34736,2
Lumiere Studios,31167,31167,31167,1
MuccyGames,21101.5,21101.5,42203,2
Bone Collectors,31562,31562,31562,1
Spoon Network,31552,31552,31552,1
Aleksandr Turkin,18038.5,18038.5,36077,2
H-GIRL,31523,31523,31523,1
CyberDesktop,31520,31520,31520,1
HappyGames,60988,60226,304940,5
MoonSongGames,53742.333333333336,60226,161227,3
Fire Biscuit Games,28100,28100,56200,2
Joint Ventures,31491,31491,31491,1
The Catalyst Crew,32209,32209,32209,1
Artifact 5,31488,31488,31488,1
Monster Bath Studios Inc.,48748.5,48748.5,97497,2
Dawnsbury Studios,15899.5,15899.5,31799,2
Urban Meadows,31469,31469,31469,1
家里蹲工作室,31520,31520,31520,1
68k Studios,15769.666666666666,14187,47309,3
Craft Theory,31398,31398,31398,1
モンスター研,31429,31429,31429,1
Pyxton Studios,19436.5,19436.5,38873,2
Rocking Hamster,31436,31436,31436,1
Diagrammet AB,45159.5,45159.5,90319,2
Bryan Gale,31384,31384,31384,1
SHADA GAMES,15399,15399,30798,2
Unfinished Pixel,21681.333333333332,24494,130088,6
ITK,40447,32554,121341,3
只做一款战棋工作室,31236,31236,31236,1
Bandai Namco Entertainment America Inc.,31285,31285,31285,1
GLITCH,15270,13223,45810,3
MGG Studio,37715.666666666664,31405,113147,3
The Gunseed Collab,31219,31219,31219,1
BCQT,32276,32276,32276,1
SUBLEVEL ONE STUDIOS,31213,31213,31213,1
Steelkrill Studio,27477,18326,219816,8
攻壳游戏 Gamker Studio,31192,31192,31192,1
"Duang! Games, LLC",31184,31184,31184,1
Artem Kotov,20676,18248,62028,3
"Ozaak, inc.",31135,31135,31135,1
Molter,19367.5,19367.5,38735,2
Celtia,31082,31082,31082,1
Stout Games,31100,31100,31100,1
Mark Healey,31375,31375,31375,1
Thomas Waterzooi,15630,15630,31260,2
Virtual Convict,31062,31062,31062,1
Nick Donnelly,31019,31019,31019,1
Alexander Gromyko,15799,15799,31598,2
ENIGMA STUDIO,22981.333333333332,21333,68944,3
武汉幻狮科技有限公司,13555.666666666666,8414,40667,3
Hummingbird Game Studio,31009,31009,31009,1
Lionel Marsden,31034,31034,31034,1
Azerbaijan Technology,17815.285714285714,16888.5,249414,14
Aztech,17533.846153846152,15954,227940,13
Bookmark Games,20648,20648,41296,2
Toucan Studio,30994,30994,30994,1
Teardrop Games,30958,30958,30958,1
Planet Tobor,30953,30953,30953,1
Cointinue Games,31294,31294,31294,1
"The Dirigiballers, LLC",30929,30929,30929,1
Anarch Entertainment,10443.666666666666,0,31331,3
Great Cogs,30903,30903,30903,1
Quackpond Games,17160.5,17160.5,34321,2
IHM Studio,27215.5,27215.5,54431,2
GYVR,30877,30877,30877,1
Maximum Games,13354,13767.5,106832,8
Zai Studio,19671.666666666668,22309,59015,3
S.C. 16 BIT NIGHTS S.R.L.,39966.75,35778,159867,4
North Side,30779,30779,30779,1
Rachan Neamprasert,30804,30804,30804,1
REAL co.Ltd,17996,17996,35992,2
StickyLock Studios,18787,25668,56361,3
WKM-STUDIO,30655,30655,30655,1
Denis Esie,30687,30687,30687,1
Claymatic Games,12937.666666666666,8249,38813,3
Pill Bug Interactive,10337,4366,41348,4
GoniNmimi Games,30418,30418,30418,1
Famiku,30621,30621,30621,1
Cody Penn,30673,30673,30673,1
Brutal Muse,30610,30610,30610,1
Strange_Indie_Team,30606,30606,30606,1
Untold Games,31011,31011,31011,1
Amrita,17421.5,17421.5,34843,2
Stately Eagle Games,30908,30908,30908,1
Pixellica Corp.,30553,30553,30553,1
FirePillar2,27048.166666666668,7207.5,162289,6
MisterKnobb,30834,30834,30834,1
GY Games,15245.5,15245.5,30491,2
Star Bunny Enterprises,30456,30456,30456,1
MrDots Games,31893,31893,31893,1
Odisi Games,30440,30440,30440,1
Veritable Joy Studios,30410,30410,30410,1
CREATY,29255,29255,29255,1
Ductape studio,30408,30408,30408,1
Secret Camera,30254,30254,30254,1
Chris,30508,30508,30508,1
Sanuk Games,16694.5,16694.5,33389,2
N-Tri Studio,17280.75,13673.5,69123,4
Mark Schramm,11841.666666666666,3143,35525,3
Manager Games S.A.,9204,3251.5,36816,4
Weird Bunny,30330,30330,30330,1
Ben Olding Games,30256,30256,30256,1
Krem Deluge Games,30501,30501,30501,1
Team Clockworks,30295,30295,30295,1
SquareAnon,30302,30302,30302,1
Rhombus Studios,30353,30353,30353,1
jwiggs,30289,30289,30289,1
Mirage Interactive,12378,6879,37134,3
北京魔视互动科技有限公司,30255,30255,30255,1
Archive Entertainment,8372,2646,41860,5
Winter Bear Studio,30224,30224,30224,1
Pixeled Vision,30405,30405,30405,1
Hat Games,30331,30331,30331,1
Marmalade Star,20183.5,20183.5,40367,2
Kraken Empire,30184,30184,30184,1
Yamoto,13655,8553,40965,3
FireArmGames,24070.5,24070.5,48141,2
NekokujiraLab,30192,30192,30192,1
Butterflyware,17486,17486,34972,2
Altai Game Studio,30136,30136,30136,1
Marjupi Games,27460,11133.5,164760,6
Meteorbyte Studios,8567,2090.5,34268,4
Durven Studios,30201,30201,30201,1
Muzt Die Studios,30088,30088,30088,1
Puppetmaster3dx,31888.11111111111,16637,286993,9
Cosmoscope GmbH,30062,30062,30062,1
oldhc,30050,30050,30050,1
Dark Dimension,29985,29985,29985,1
Candy Valley Network,30026,30026,30026,1
toR Studio,21963.666666666668,28038,65891,3
PixelMouse,15151.666666666666,12106,45455,3
Flag shadow,22206.5,22206.5,44413,2
Lunaris Iris,29979,29979,29979,1
Kunpo Games,257930.5,257930.5,515861,2
Lilith Games,20794.5,20794.5,41589,2
Storm Isle Productions,29883,29883,29883,1
Wobbly Duck Studios,29883,29883,29883,1
AFY Games,29835,29835,29835,1
Warm Kitten,29874,29874,29874,1
Elf Games,29795,29795,29795,1
Super Retro Duck,29769,29769,29769,1
Buff Studio,13049.25,11105,52197,4
Cydonian Games,29752,29752,29752,1
Levsha,29752,29752,29752,1
Cat Nigiri,14870,14870,29740,2
Improx Games,14859,14859,29718,2
末法时代制作组,29717,29717,29717,1
Lonhong Media,24207.666666666668,27578,72623,3
Web Interactive Solutions.,29707,29707,29707,1
Guillotine,29578,29578,29578,1
SIEIDI Ltd,20501.5,20501.5,41003,2
YuruOwO,19939,19939,39878,2
Michaela Laws,15565.596644358446,4146.5,124524.77315486757,8
Headtrip Games llc,19013.5,19013.5,38027,2
the whale husband,14791.5,14791.5,29583,2
Hitreg Studios,14914.5,14914.5,29829,2
Lone Artisan Games,29594,29594,29594,1
Michal Kruba,29594,29594,29594,1
Tiger Style,93142,93142,186284,2
The Secret Games Company,29586,29586,29586,1
TRAMWORKS,29531,29531,29531,1
Light Dark Deviant,29580,29580,29580,1
Harvey games,14815.5,14815.5,29631,2
BlackRat,29530,29530,29530,1
Proper Games,29528,29528,29528,1
Tripleducks studio,31883,31883,31883,1
Super Legit Games,29506,29506,29506,1
Bulletproof Outlaws,29446,29446,29446,1
Silvernode Games,29448,29448,29448,1
Istotex,29419,29419,29419,1
Joymania Development,29427,29427,29427,1
Martin Senovsky,29408,29408,29408,1
Pone Games,31614,31614,31614,1
Carpetwurm,29624,29624,29624,1
Fremmed,29483,29483,29483,1
Maximus,43629,43629,43629,1
Lewd Games Studio,29391,29391,29391,1
Giant Spacekat,29346,29346,29346,1
Garage 5,14665.5,14665.5,29331,2
Together  Game,29225,29225,29225,1
CRYTlVO,29324,29324,29324,1
Aggroblakh,13855,13049,55420,4
Subatomic Studios LLC,91751.5,91751.5,183503,2
CashcowGames,16177.25,16313.5,64709,4
pink rabbit,29289,29289,29289,1
Critical Bit,29292,29292,29292,1
Hyperquad Studio,29547,29547,29547,1
Hook Games,25191.76923076923,10605,327493,13
MAGES. Inc.,45348,45348,90696,2
Benn Powell,17721.5,17721.5,35443,2
Coffee Addict Studio,29247,29247,29247,1
Serzhantov Aleksandr,29229,29229,29229,1
Gamily Studios,29226,29226,29226,1
CASCHA GAMES,29200,29200,29200,1
Daniel Lochner,30021,30021,30021,1
Curious Chicken Games,28938,28938,28938,1
Holgersson Entertainment,16933.5,16933.5,33867,2
Prapancha Studios,35533,35533,35533,1
BTNcafe,14705.5,14705.5,29411,2
Mastiff,56148.75,27217.5,449190,8
Make Real,29164,29164,29164,1
MonkeyToons,29109,29109,29109,1
Turn Point Games,28950,28950,28950,1
Robin Nicolet,29358,29358,29358,1
Brave Cinema Entertainment LLC,29337,29337,29337,1
AIONWARE LTD,15465.5,15465.5,30931,2
New Deer,28990,28990,28990,1
SUNSOFT,57152.857142857145,14619,400070,7
TailsUp4Tyranno,14793.333333333334,10820,44380,3
Bolverk Games,65864.33333333333,29080,197593,3
Digdog Studio,28964,28964,28964,1
PHL Collective,28964,28964,28964,1
MaxEstLa,50290.007685241406,28959,150870.02305572422,3
DeadGrass Games,28970,28970,28970,1
HornyGames,28931,28931,28931,1
Midnight Munchies,28879,28879,28879,1
Outersloth,213879.66666666666,86064,641639,3
"Dragonfly GF Co., Ltd.",28902,28902,28902,1
I Need Play,25266,25266,25266,1
"TOHO CO., LTD.",25289,25289,25289,1
K Monkey,41950,41950,83900,2
Soulven Games,25225,25225,25225,1
"AXTORM Co., Ltd.",34566,34566,34566,1
InitiativeVR,16565,16565,33130,2
Lifelong Games,25212,25212,25212,1
AliveGameStudio,70316.5,70316.5,140633,2
Randomnine Ltd,25128,25128,25128,1
Anarchy97 Games,25132,25132,25132,1
Superflat Games,331110,331110,662220,2
ChillX Ltd,25114,25114,25114,1
We Are Fuzzy,25268,25268,25268,1
Play Native Entertainment,25078,25078,25078,1
Emay Games,25057,25057,25057,1
StellarXiela,26473.333333333332,25060,79420,3
Alternative Software,25465,25465,25465,1
Gagonfe,7284.272727272727,3491,80127,11
Ivent Games,25047,25047,25047,1
Barking Dogs,23966,23966,23966,1
Lupus Solus Studio,25030,25030,25030,1
Arcade Injection,25025,25025,25025,1
Lunarch Studios,16154.22747969373,16154.22747969373,32308.45495938746,2
Hammerheart,25024,25024,25024,1
Indoor Minotaur Productions [IMP],25011,25011,25011,1
LoLGames,12068.2,13604,60341,5
iMel,9622,5571,67354,7
1917 Studios,24985,24985,24985,1
Mitzi Games,25041,25041,25041,1
davemakes,24951,24951,24951,1
PushForward,24929,24929,24929,1
Gyoza Games LLC,24927,24927,24927,1
麟湾工作室,24922,24922,24922,1
Andrew G. Schneider,24919,24919,24919,1
Dialogue Design,24919,24919,24919,1
Celeritas Games,14667.25,15242,58669,4
Visigames,24898,24898,24898,1
Veslo Games,15370.333333333334,14539,46111,3
Otherworld Interactive,72117.5,72117.5,144235,2
XR Games,24831,24831,24831,1
Sony Pictures Virtual Reality (SPVR),24831,24831,24831,1
Niffler Ltd.,13019.25,13633.5,52077,4
Dmk,24838,24838,24838,1
Sam Vallely,24834,24834,24834,1
Kraftix Games,24840,24840,24840,1
Frostfall Realms Studios,24754,24754,24754,1
GOCORE,26606,18979.5,159636,6
Antler,24785,24785,24785,1
HeadHunters games,13248,13248,26496,2
Black Kite Games,24849,24849,24849,1
Hangonit,13978.5,13978.5,27957,2
mslivo,24919,24919,24919,1
Hummingwarp Interactive,24796,24796,24796,1
弦语蝶梦,18929,18929,37858,2
Studio Sterneck,24738,24738,24738,1
STEELDUCK Studios,24707,24707,24707,1
David Su,24772,24772,24772,1
69Gate,24797,24797,24797,1
Chaos Gate,30452,30452,30452,1
Onion Core,24679,24679,24679,1
Flower games,24588,24588,24588,1
MY.GAMES,5683953.942783487,221971,39787677.59948441,7
Undercoders,25250.5,23787.5,101002,4
Xlab Digital,13760.5,13760.5,27521,2
No Serious Games,24708,24708,24708,1
Stairfall Institute,24618,24618,24618,1
Canuck Play Inc.,24603,24603,24603,1
BottleCube inc.,12581.25,12856.5,50325,4
Leikir Studio,14856.5,14856.5,29713,2
TokuPop,24614,24614,24614,1
Nex,24651,24651,24651,1
SHIT MAKER,24452,24452,24452,1
Viperante,15980.5,15980.5,31961,2
Oriku Inc,24569,24569,24569,1
Enthusiast Games,12930,12930,25860,2
Frima,24536,24536,24536,1
Éditions RSG,24536,24536,24536,1
Phantasmica Studios,26497,26497,26497,1
DRAGOLITE STUDIO,24526,24526,24526,1
Stormlord Games LLC,24477,24477,24477,1
Psydra Games LLC,24463,24463,24463,1
Gingerbred,24463,24463,24463,1
Slugsoft,24451,24451,24451,1
Team Grybanser Fox,7588.166666666667,4710,45529,6
"Lorke Records, Inh. Anne Baumann",24494,24494,24494,1
Ionising Software,24377,24377,24377,1
吉祥与如意工作室,24352,24352,24352,1
Deepak M.,24307,24307,24307,1
Grant B.,24307,24307,24307,1
Expone,24287,24287,24287,1
Q1TEK LLC,24273,24273,24273,1
Maze Theory,22314.333333333332,24348,66943,3
Steppe Games,24240,24240,24240,1
Dashing Strike,24250,24250,24250,1
HEATHER FLOWERS,24585,24585,24585,1
Manufacture 43,24217,24217,24217,1
Horizon Studios,24202,24202,24202,1
USC Games,858.1379310344828,0,24886,29
ChronoVision,24180,24180,24180,1
Alex8778,11343.666666666666,8316,34031,3
Monkey Face Software LLC,9250.25,5714,37001,4
DEVBOX,24140,24140,24140,1
Wild River Games,34834.8,11763,174174,5
Atomic Elbow,266166.5,266166.5,532333,2
Digital Fossil,24681,24681,24681,1
Puppy Punch Productions,24136,24136,24136,1
Arcanum Team,25499,25499,25499,1
Pizza Bear Games,24126,24126,24126,1
Steel Arts Software,24099,24099,24099,1
OMFGames,24103,24103,24103,1
Hero Game Co LLC,40027.333333333336,27591,120082,3
PulPul Games,27373,27373,27373,1
Madar Games,10722.666666666666,4673,32168,3
"GAGEX Co., Ltd.",27342,27342,27342,1
Breakfall,225286.33333333334,27342,675859,3
Parabox,27300,27300,27300,1
ASBO Interactive,27293,27293,27293,1
